Year,Month,Week,Long_Signals,Short_Signals,Long_Bonus,Short_Bonus,Step_Min,Step_Max
2019,10,42,458,1136,684.5,1809.0,87461,88132
2019,10,43,1111,742,1645.5,1220.5,88133,88804
2019,10,44,770,270,1077.0,383.0,88805,89188
2019,11,44,435,216,617.0,294.0,89189,89476
2019,11,45,652,690,980.0,1057.0,89477,90148
2019,11,46,355,1681,492.0,2284.5,90149,90820
2019,11,47,325,1245,546.0,1811.0,90821,91492
2019,11,48,757,453,1098.0,689.0,91493,92068
2019,12,1,71,560,133.5,690.5,94853,95044
2019,12,48,20,211,44.0,328.5,92069,92164
2019,12,49,543,795,857.0,1249.0,92165,92836
2019,12,50,265,1926,396.5,2584.5,92837,93508
2019,12,51,739,974,1095.0,1380.5,93509,94180
2019,12,52,850,1301,1187.5,1780.5,94181,94852
2020,1,1,645,832,881.0,1041.5,95045,95524
2020,1,2,1714,351,2240.0,472.0,95525,96196
2020,1,3,1795,285,2275.0,329.0,96197,96868
2020,1,4,703,641,1007.0,972.0,96869,97540
2020,1,5,1433,253,1901.5,277.0,97541,98020
2020,2,5,356,138,471.0,201.0,98021,98212
2020,2,6,1801,304,2308.0,386.5,98213,98884
2020,2,7,1101,452,1505.5,626.0,98885,99556
2020,2,8,1188,604,1689.5,929.5,99557,100228
2020,2,9,364,1006,600.0,1426.0,100229,100804
2020,3,9,93,155,147.0,254.0,100805,100900
2020,3,10,798,676,1128.5,1093.5,100901,101572
2020,3,11,315,1100,463.5,1859.5,101573,102244
2020,3,12,1013,797,1415.5,1242.0,102245,102916
2020,3,13,585,1033,879.0,1442.0,102917,103588
2020,3,14,239,146,350.5,167.0,103589,103685
2020,4,14,591,918,720.0,1286.0,103686,104165
2020,4,15,1237,683,1587.0,889.0,104166,104837
2020,4,16,1204,840,1721.5,1079.5,104838,105509
2020,4,17,1643,713,2425.5,895.0,105510,106181
2020,4,18,1051,131,1378.5,175.0,106182,106565
2020,5,18,859,138,1168.0,176.5,106566,106853
2020,5,19,1623,412,2141.0,555.5,106854,107525
2020,5,20,1139,528,1714.5,770.0,107526,108197
2020,5,21,612,530,728.0,707.0,108198,108869
2020,5,22,1201,602,1646.5,819.5,108870,109541
2020,6,23,1106,640,1383.5,885.0,109542,110213
2020,6,24,860,641,1300.0,1032.5,110214,110885
2020,6,25,1075,1086,1677.0,1701.5,110886,111557
2020,6,26,770,921,1115.0,1458.5,111558,112229
2020,6,27,151,165,214.5,261.0,112230,112421
2020,7,27,322,681,510.0,1160.0,112422,112901
2020,7,28,1118,1002,1657.5,1347.0,112902,113573
2020,7,29,712,1484,1082.0,2180.0,113574,114245
2020,7,30,2195,398,3207.0,680.0,114246,114917
2020,7,31,1688,171,2156.5,249.5,114918,115397
2020,8,31,383,82,510.0,102.5,115398,115589
2020,8,32,883,402,1287.5,634.5,115590,116261
2020,8,33,879,664,1246.5,955.5,116262,116933
2020,8,34,835,708,1050.5,1061.0,116934,117605
2020,8,35,1059,487,1257.0,642.0,117606,118277
2020,8,36,288,20,402.0,37.0,118278,118373
2020,9,36,546,1030,776.0,1585.5,118374,118949
2020,9,37,656,895,929.0,1542.0,118950,119621
2020,9,38,1037,537,1407.0,761.0,119622,120293
2020,9,39,564,1136,884.0,1701.5,120294,120965
2020,9,40,247,511,279.5,649.5,120966,121158
2020,10,40,426,886,715.5,1362.0,121159,121542
2020,10,41,1714,833,2468.5,1136.0,121543,122214
2020,10,42,1350,673,1776.5,1023.5,122215,122886
2020,10,43,2461,148,3084.5,178.0,122887,123558
2020,10,44,1275,256,1792.5,312.0,123559,124134
2020,11,44,180,43,240.5,44.5,124135,124230
